axis,coordinate_m,coordinate_mm,quantization_axis_x,quantization_axis_y,quantization_axis_z,total_intensity_w_per_m2,total_intensity_per_watt_path_m_inv2,scalar_shift_hz,vector_shift_hz,tensor_shift_hz,total_shift_hz,scalar_shift_hz_per_watt_path,vector_shift_hz_per_watt_path,tensor_shift_hz_per_watt_path,total_shift_hz_per_watt_path,bare_stretched_transition_frequency_hz,shifted_stretched_transition_frequency_hz,fixed_carrier_effective_detuning_hz,center_compensated_effective_detuning_hz
x,-0.00147,-1.47,1.0,0.0,0.0,19221.222288418503,501931.8499698222,-10197710.881280644,-4298601.013427027,3620238.9258599905,-10876072.968847683,-266297106.98381025,-112251173.55058199,94536819.4656666,-284011461.0687257,384228115000000.0,384228104123927.0,-4123927.0311523173,-20463618.45884628
x,-0.00146,-1.46,1.0,0.0,0.0,19314.129782146585,504357.98237197933,-10247002.427131725,-4266802.885678213,3587874.478944337,-10925930.8338656,-267584277.82163012,-111420815.68639167,93691673.07123506,-285313420.43678665,384228115000000.0,384228104074069.2,-4074069.1661344003,-20413760.593828365
x,-0.00145,-1.45,1.0,0.0,0.0,19407.67342508587,506800.72680565267,-10296631.478352437,-4235059.353655817,3555401.56975109,-10976289.262257164,-268880262.0789095,-110591883.50333388,92843694.35579774,-286628451.2264457,384228115000000.0,384228104023710.75,-4023710.7377428357,-20363402.165436797
x,-0.0014399999999999999,-1.44,1.0,0.0,0.0,19501.842434681763,509259.8017014657,-10346592.314319361,-4203369.963544951,3522822.893069973,-11027139.38479434,-270184910.3706067,-109764365.1507499,91992953.6895304,-287956321.83182627,384228115000000.0,384228103972860.6,-3972860.6152056605,-20312552.042899624
x,-0.0014299999999999998,-1.43,1.0,0.0,0.0,19596.625760543622,511734.91849592683,-10396879.072310178,-4171734.263307678,3490141.216211596,-11078472.119406264,-271498069.60099155,-108938248.82438326,91139523.3363772,-289296795.0889977,384228115000000.0,384228103921527.9,-3921527.8805937357,-20261219.3082877
x,-0.00142,-1.42,1.0,0.0,0.0,19692.012084808455,514225.78164092655,-10447485.74769663,-4140151.802666013,3457359.378903338,-11130278.171459306,-272819582.9686846,-108113522.7659358,90283477.4513318,-290649628.2832886,384228115000000.0,384228103869721.8,-3869721.828540694,-20209413.256234657
x,-0.00141,-1.41,1.0,0.0,0.0,19787.98982262347,516732.0886163386,-10498406.194200525,-4108622.133085077,3424480.2931537987,-11182548.034131804,-274149289.9733421,-107290175.26262785,89424892.07689771,-292014573.1590723,384228115000000.0,384228103817451.94,-3817451.9658681955,-20157143.39356216
x,-0.0014,-1.4,1.0,0.0,0.0,19884.547122748438,519253.52994574973,-10549634.124213321,-4077144.807756279,3391506.9430855457,-11235271.988884054,-275487026.42400163,-106468194.64675905,88563845.13872078,-293391375.9320399,384228115000000.0,384228103764728.0,-3764728.011115946,-20104419.43880991
x,-0.00139,-1.39,1.0,0.0,0.0,19981.671868279227,521789.78921535355,-10601163.109179994,-4045719.381580733,3358442.3847357873,-11288440.10602494,-276832624.4491061,-105647569.29527524,87700416.44038409,-294779777.3039972,384228115000000.0,384228103711559.9,-3711559.8939750604,-20051251.321669023
x,-0.0013800000000000002,-1.3800000000000001,1.0,0.0,0.0,20079.35167749344,524340.5430960332,-10652986.580047678,-4014345.4111526683,3325289.7458247333,-11342042.245375615,-278185912.5082191,-104828287.62933531,86834687.65735902,-296179512.48019546,384228115000000.0,384228103657957.75,-3657957.7546243854,-19997649.18231835
x,-0.0013700000000000001,-1.37,1.0,0.0,0.0,20177.573904819186,526905.461368659,-10705097.827779667,-3983022.454742971,3292052.225491366,-11396068.05703127,-279546715.4054476,-104010338.11388141,85966742.33010536,-297590311.1892236,384228115000000.0,384228103603931.94,-3603931.94296873,-19943623.370662693
x,-0.00136,-1.36,1.0,0.0,0.0,20276.325641928037,529484.2069526298,-10757490.003935244,-3951750.0722829057,3258733.093996367,-11450506.982221784,-280914854.304583,-103193709.25721385,85096665.85631372,-299011897.7054832,384228115000000.0,384228103549493.0,-3549493.017778216,-19889184.44547218
x,-0.00135,-1.35,1.0,0.0,0.0,20375.593718952954,532076.4359376765,-10810156.12131586,-3920527.8253478077,3225335.6923919213,-11505348.254271746,-282290146.74597514,-102378389.6105652,84224545.48228294,-300443990.87425745,384228115000000.0,384228103494651.75,-3494651.7457282543,-19834343.173422217
x,-0.00134,-1.34,1.0,0.0,0.0,20475.364705832057,534681.7976189529,-10863089.054678073,-3889355.277141004,3191863.4321582667,-11560580.899660815,-283672406.6651497,-101564367.76768053,83350470.29342917,-301886304.13940114,384228115000000.0,384228103439419.1,-3439419.1003391854,-19779110.52803315
x,-0.00133,-1.33,1.0,0.0,0.0,20575.624913779044,537299.9345354337,-10916281.54151365,-3858231.992477762,3158319.7948066792,-11616193.739184733,-285061444.41317904,-100751632.36439814,82474531.20391852,-303338545.5736587,384228115000000.0,384228103383806.25,-3383806.2608152665,-19723497.68850923
x,-0.00132,-1.32,1.0,0.0,0.0,20676.360396880882,539930.4825116347,-10969726.182897236,-3827157.5377693484,3124708.331448801,-11672175.389217785,-286457066.77881813,-99940172.07823332,81596820.94542065,-304800417.9116308,384228115000000.0,384228103327824.6,-3327824.6107822154,-19667516.038476177
x,-0.00131,-1.31,1.0,0.0,0.0,20777.556953823467,542573.0707026767,-11023415.444401866,-3796131.4810072053,3091032.6623320635,-11728514.263077008,-287859077.0124113,-99129975.6279652,80717434.05497715,-306271618.5853994,384228115000000.0,384228103271485.75,-3271485.7369229924,-19611177.164616957
x,-0.0013,-1.3,1.0,0.0,0.0,20879.200129745754,545227.3216427026,-11077341.65708269,-3765153.3917472153,3057296.4763411344,-11785198.572488768,-289267274.85158104,-98321031.77322575,79836466.86198257,-307751839.7628242,384228115000000.0,384228103214801.44,-3214801.427511232,-19554492.855205193
x,-0.00129,-1.2899999999999998,1.0,0.0,0.0,20981.275218222963,547892.8512966658,-11131497.018529128,-3734222.841094052,3023503.530465185,-11842216.329157995,-290681456.5487031,-97513329.31409119,78954017.47427295,-309240768.3885213,384228115000000.0,384228103157783.7,-3157783.670842005,-19497475.09853597
x,-0.0012799999999999999,-1.2799999999999998,1.0,0.0,0.0,21083.767263379097,550569.2691154955,-11185873.593985688,-3703339.401685647,2989657.649230905,-11899555.34644043,-292101414.9001748,-96706857.09067637,78070185.76331994,-310738086.22753125,384228115000000.0,384228103100444.6,-3100444.6535595693,-19440136.081253532
x,-0.0012699999999999999,-1.2699999999999998,1.0,0.0,0.0,21186.66106212936,553256.1780946534,-11240463.317541614,-3672502.647677739,2955762.7241011607,-11957203.241118196,-293526939.2774813,-95901603.98273121,77185073.34852766,-312243469.91168493,384228115000000.0,384228103042796.75,-3042796.7588818036,-19382488.186575767
x,-0.0012599999999999998,-1.2599999999999998,1.0,0.0,0.0,21289.94116655252,555953.1748360847,-11295257.993389597,-3641712.154728489,2921822.712839249,-12015147.435278839,-294957815.6600642,-95097558.9092391,76298783.58063124,-313756590.98867214,384228115000000.0,384228102984852.56,-2984852.5647211615,-19324543.992415123
x,-0.00125,-1.25,1.0,0.0,0.0,21393.591886393613,558659.8496135724,-11350249.297153506,-3610967.4999832627,2887841.63883862,-12073375.158298148,-296393826.66999376,-94294710.82801935,75411421.52419354,-315277115.9738195,384228115000000.0,384228102926624.8,-2926624.841701852,-19266316.269395813
x,-0.00124,-1.24,1.0,0.0,0.0,21497.597291696944,561375.7864414928,-11405428.77728537,-3580268.2620594027,2853823.590418123,-12131873.448926648,-297834751.6084482,-93493048.73532969,74523093.93920167,-316804706.4045762,384228115000000.0,384228102868126.56,-2868126.551073352,-19207817.978767313
x,-0.00123,-1.23,1.0,0.0,0.0,21601.941215569645,564100.5631469832,-11460787.8565315,-3549614.0210311906,2819772.7200826975,-12190629.157479992,-299280366.49399996,-92692561.66547346,73633909.261761,-318339018.89771235,384228115000000.0,384228102809370.8,-2809370.842520008,-19149062.27021397
x,-0.00122,-1.22,1.0,0.0,0.0,21706.607257075528,566833.7514455088,-11516317.833467891,-3519004.3584148325,2785693.2437495524,-12249628.948133172,-300730444.1027095,-91893238.6904076,72743977.5838882,-319879705.20922893,384228115000000.0,384228102750371.06,-2750371.0518668275,-19090062.479560792
x,-0.0012100000000000001,-1.2100000000000002,1.0,0.0,0.0,21811.578784259334,569574.9170198372,-11572009.88410465,-3488438.8571535335,2751589.439939822,-12308859.30131836,-302184754.01002294,-91095068.9193529,71853410.6324025,-321426412.2969733,384228115000000.0,384228102691140.7,-2691140.6986816395,-19030832.1263756
x,-0.0012000000000000001,-1.2000000000000002,1.0,0.0,0.0,21916.8389373011,572323.6196024088,-11627855.063559549,-3457917.101602693,2717465.6489357813,-12368306.516226465,-303643062.6344741,-90298041.4984073,70962321.74691774,-322978782.3859638,384228115000000.0,384228102631693.5,-2631693.483773535,-18971384.9114675
x,-0.00119,-1.1900000000000002,1.0,0.0,0.0,22022.370631800397,575079.4130611005,-11683844.30780048,-3427438.677515199,2683326.2719036927,-12427956.713411983,-305105133.28318596,-89502145.61016203,70070825.85693689,-324536453.03641105,384228115000000.0,384228102572043.3,-2572043.286588017,-18911734.71428198
x,-0.00118,-1.1800000000000002,1.0,0.0,0.0,22128.156562190066,577841.8454883691,-11739968.435456567,-3397003.1720267185,2649175.7699823114,-12487795.837500975,-306570726.19916487,-88707370.47331737,69179039.4580498,-326099057.2144325,384228115000000.0,384228102512204.2,-2512204.1624990255,-18851895.59019299
x,-0.00117,-1.17,1.0,0.0,0.0,22234.179205279233,580610.4592937721,-11796218.149697887,-3366610.1736411634,2615018.6633372414,-12547809.66000181,-308039598.61038667,-87913705.34230313,68287080.58723924,-327666223.3654506,384228115000000.0,384228102452190.3,-2452190.3399981894,-18791881.767692152
x,-0.00116,-1.16,1.0,0.0,0.0,22340.420823924713,583384.7912998406,-11852584.040183356,-3336259.272216232,2580859.5301812305,-12607983.782218358,-309511504.7806626,-87121139.50690114,67395068.7972974,-329237575.4902663,384228115000000.0,384228102392016.2,-2392016.2177816425,-18731707.645475604
x,-0.00115,-1.15,1.0,0.0,0.0,22446.86347083065,586164.3728413002,-11909056.585076563,-3305950.0589489522,2546703.0057605444,-12668303.638264967,-310986196.06227946,-86329662.29186773,66503125.13035671,-330812733.2237904,384228115000000.0,384228102331696.4,-2331696.361735033,-18671387.789428994
