axis_pair,quantization_axis,coordinate_m,coordinate_mm,scalar_shift_hz,vector_shift_hz,tensor_shift_hz,scalar_plus_tensor_shift_hz,total_shift_hz,scalar_shift_hz_per_watt_path,vector_shift_hz_per_watt_path,tensor_shift_hz_per_watt_path,total_shift_hz_per_watt_path
x,x,-0.00023,-0.23,-5455215.111269416,-644498.930756879,5455148.008751397,-67.10251801926643,-644566.0332748983,-142454323.23170322,-16830071.24959426,142452570.9554691,-16831823.5258284
x,x,-0.000225,-0.225,-5454842.742121037,-630459.3831151864,5454775.644183388,-67.09793764911592,-630526.4810528355,-142444599.39974743,-16463450.645826504,142442847.24312243,-16465202.802451512
x,x,-0.00021999999999999998,-0.21999999999999997,-5454478.5842347415,-616421.7297217986,5454411.490776461,-67.09345828089863,-616488.8231800795,-142435089.9919269,-16096879.507360261,142433337.95227352,-16098631.547013644
x,x,-0.00021499999999999997,-0.21499999999999997,-5454122.635786439,-602385.9282762054,5454055.546706544,-67.08907989505678,-602453.0173561005,-142425794.96060842,-15730356.729584545,142424043.03528967,-15732108.6549033
x,x,-0.00021,-0.21000000000000002,-5453774.894993305,-588351.9364918275,5453707.810190837,-67.08480246830732,-588419.0212942958,-142416714.25923634,-15363881.208252145,142414962.44561583,-15365633.021872658
x,x,-0.000205,-0.205,-5453435.360113757,-574319.7120956676,5453368.279487777,-67.08062598016113,-574386.7927216478,-142407847.84233195,-14997451.839470536,142406096.1377738,-14999203.54402866
x,x,-0.00019999999999999998,-0.19999999999999998,-5453104.029447444,-560289.2128280196,5453036.952897036,-67.07655040733516,-560356.289378427,-142399195.6654933,-14631067.519694261,142397444.06736234,-14632819.117825242
x,x,-0.00019499999999999997,-0.19499999999999998,-5452780.901335223,-546260.3964421349,5452713.8287594905,-67.07257573213428,-546327.469017867,-142390757.6853945,-14264727.14571623,142389006.1910559,-14266478.640054848
x,x,-0.00019,-0.19,-5452465.9741591485,-532233.2207039036,5452398.905457215,-67.06870193313807,-532300.2894058367,-142382533.85978547,-13898429.614659399,142380782.46660498,-13900181.007839875
x,x,-0.000185,-0.185,-5452159.246342445,-518207.64339156356,5452092.181413453,-67.06492899172008,-518274.7083205553,-142374524.14749113,-13532173.823969157,142372772.85283506,-13533925.118625231
x,x,-0.00017999999999999998,-0.18,-5451860.716349502,-504183.62229533773,5451793.655092614,-67.06125688832253,-504250.68355222605,-142366728.50841156,-13165958.671403872,142364977.30964664,-13167709.870168768
x,x,-0.00017499999999999997,-0.17499999999999996,-5451570.382685848,-490161.11521713436,5451503.325000243,-67.05768560431898,-490228.1729027387,-142359146.90352088,-12799783.05502705,142357395.7980144,-12801534.160533508
x,x,-0.00016999999999999996,-0.16999999999999996,-5451288.243898142,-476140.0799702527,5451221.189683019,-67.0542151229456,-476207.13418537565,-142351779.29486746,-12433645.87319966,142350028.27998716,-12435396.888079979
x,x,-0.000165,-0.165,-5451014.298574154,-462120.4743790291,5450947.247728728,-67.0508454265073,-462187.52522445563,-142344625.64557314,-12067546.024570882,142342874.71868712,-12069296.951456903
x,x,-0.00015999999999999999,-0.15999999999999998,-5450748.545342753,-448102.2562785456,5450681.497766256,-67.04757649637759,-448169.303855042,-142337685.91983294,-11701482.408070505,142335935.07830986,-11703233.249593578
x,x,-0.00015499999999999997,-0.15499999999999997,-5450490.982873885,-434085.38351428974,5450423.938465565,-67.04440831951797,-434152.42792260926,-142330960.08291468,-11335453.922900042,142329209.32412353,-11337204.681691183
x,x,-0.00014999999999999996,-0.14999999999999997,-5450241.609878572,-420069.81394185964,5450174.568537694,-67.04134087730199,-420136.85528273694,-142324448.10115868,-10969459.468525028,142322697.42246893,-10971210.147214763
x,x,-0.000145,-0.145,-5450000.425108891,-406055.5054266518,5449933.386734735,-67.03837415575981,-406122.54380080756,-142318149.94197744,-10603497.944666864,142316399.34075895,-10605248.545885354
x,x,-0.00014,-0.13999999999999999,-5449767.427357957,-392042.41584350355,5449700.391849818,-67.03550813905895,-392109.4513516426,-142312065.57385504,-10237568.251293492,142310315.04747805,-10239318.777670482
x,x,-0.00013499999999999997,-0.13499999999999998,-5449542.615459914,-378030.5030764118,5449475.5827171,-67.03274281416088,-378097.53581922594,-142306194.96634704,-9871669.288612029,142304444.51218212,-9873419.74277693
x,x,-0.00012999999999999996,-0.12999999999999995,-5449325.988289932,-364019.7250182163,5449258.958211766,-67.03007816616446,-364086.75509638246,-142300538.09008017,-9505799.957060518,142298787.70549834,-9507550.341642348
