axis,speed_m_per_s,pair_scalar_shift_hz,pair_vector_shift_hz,pair_tensor_shift_hz,pair_scalar_plus_tensor_shift_hz,pair_total_shift_hz
x,-3.0,-5446640.661006264,-18767.094019421376,5446523.128529966,-117.53247629851103,-18884.626495719887
x,-2.875,-5446634.376806539,-17984.729780120775,5446520.976807801,-113.39999873749912,-18098.129778858274
x,-2.75,-5446628.092606813,-17202.36554081738,5446518.825085636,-109.26752117648721,-17311.633061993867
x,-2.625,-5446622.720185032,-16420.60525302589,5446516.985430593,-105.73475443944335,-16526.340007465333
x,-2.5,-5446617.4897500295,-15638.938674049452,5446515.194373403,-102.29537662677467,-15741.234050676227
x,-2.375,-5446612.259315029,-14857.27209507674,5446513.403316213,-98.85599881596863,-14956.128093892708
x,-2.25,-5446607.029118809,-14075.605656085536,5446511.612341738,-95.41677707061172,-14171.022433156148
x,-2.125,-5446602.155308934,-13293.703065733425,5446509.94344417,-92.21186476387084,-13385.914930497296
x,-2.0,-5446597.965827247,-12511.34754030127,5446508.508956084,-89.4568711631,-12600.80441146437
x,-1.875,-5446593.776347054,-11728.992293845862,5446507.07446851,-86.70187854394317,-11815.694172389805
x,-1.75,-5446589.6120031215,-10946.65341000259,5446505.64858556,-83.96341756172478,-11030.616827564314
x,-1.625,-5446586.473762672,-10164.993822907098,5446504.573957542,-81.89980513043702,-10246.893628037535
x,-1.5,-5446583.335522222,-9383.334235811606,5446503.499329522,-79.83619270008057,-9463.170428511687
x,-1.375,-5446580.197281772,-8601.67464871332,5446502.424701504,-77.77258026786149,-8679.447228981182
x,-1.25,-5446577.059041323,-7820.015061617829,5446501.350073487,-75.70896783657372,-7895.724029454403
x,-1.125,-5446574.443144189,-7038.009445229545,5446500.454339583,-73.98880460578948,-7111.998249835335
x,-1.0,-5446572.3484042715,-6255.659179686569,5446499.737095449,-72.61130882240832,-6328.270488508977
x,-0.875,-5446570.253664354,-5473.308914139867,5446499.019851312,-71.23381304182112,-5544.542727181688
x,-0.75,-5446568.35061191,-4691.085504498333,5446498.368238043,-69.98237386718392,-4761.067878365517
