time_s,trapping_x_incident_beq_x_t,trapping_x_incident_beq_y_t,trapping_x_incident_beq_z_t,trapping_x_retro_beq_x_t,trapping_x_retro_beq_y_t,trapping_x_retro_beq_z_t,trapping_y_incident_beq_x_t,trapping_y_incident_beq_y_t,trapping_y_incident_beq_z_t,trapping_y_retro_beq_x_t,trapping_y_retro_beq_y_t,trapping_y_retro_beq_z_t,trapping_z_incident_beq_x_t,trapping_z_incident_beq_y_t,trapping_z_incident_beq_z_t,trapping_z_retro_beq_x_t,trapping_z_retro_beq_y_t,trapping_z_retro_beq_z_t
0.00015750000000000025,-3.7112953702611945e-19,-0.0,-0.0,2.120883837316234e-68,0.0,0.0,-0.0,-8.06628963361396e-15,-0.0,0.0,9.70009443749483e-113,0.0,0.0,0.0,2.4200773984354443e-06,-0.0,-0.0,-0.0
0.00016000000000000026,-4.067854153257107e-19,-0.0,-0.0,7.107069190741959e-68,0.0,0.0,-0.0,-8.43411519245203e-15,-0.0,0.0,1.8608533191794547e-111,0.0,0.0,0.0,2.470755334797939e-06,-0.0,-0.0,-0.0
0.00016250000000000026,-4.4529240001844995e-19,-0.0,-0.0,2.3456186251213285e-67,0.0,0.0,-0.0,-8.81021757120281e-15,-0.0,0.0,3.3932405840906174e-110,0.0,0.0,0.0,2.522651219008739e-06,-0.0,-0.0,-0.0
0.00016500000000000027,-4.86821718024035e-19,-0.0,-0.0,7.626301878509025e-67,0.0,0.0,-0.0,-9.194290653267338e-15,-0.0,0.0,5.887582138893771e-109,0.0,0.0,0.0,2.575792080012169e-06,-0.0,-0.0,-0.0
0.00016750000000000028,-5.315498172599008e-19,-0.0,-0.0,2.4431783364697507e-66,0.0,0.0,-0.0,-9.58599849769195e-15,-0.0,0.0,9.730198265944079e-108,0.0,0.0,0.0,2.6302054384836785e-06,-0.0,-0.0,-0.0
0.00017000000000000028,-5.79658080707886e-19,-0.0,-0.0,7.713901753615595e-66,0.0,0.0,-0.0,-9.984975361412461e-15,-0.0,0.0,1.533206605785731e-106,0.0,0.0,0.0,2.685919313167618e-06,-0.0,-0.0,-0.0
0.0001725000000000003,-6.313324930112968e-19,-0.0,-0.0,2.4008349018034397e-65,0.0,0.0,-0.0,-1.039082583450748e-14,-0.0,0.0,2.3056608635005532e-105,0.0,0.0,0.0,2.742962226353904e-06,-0.0,-0.0,-0.0
0.0001750000000000003,-6.867632575261601e-19,-0.0,-0.0,7.36732093970829e-65,0.0,0.0,-0.0,-1.0803125088233367e-14,-0.0,0.0,3.3122051299304716e-104,0.0,0.0,0.0,2.801363209273319e-06,-0.0,-0.0,-0.0
0.0001775000000000003,-7.461443633449873e-19,-0.0,-0.0,2.2294831030554988e-64,0.0,0.0,-0.0,-1.122141924283203e-14,-0.0,0.0,4.549539571385808e-103,0.0,0.0,0.0,2.86115180706031e-06,-0.0,-0.0,-0.0
0.0001800000000000003,-8.096730997230927e-19,-0.0,-0.0,6.654764128306641e-64,0.0,0.0,-0.0,-1.1645225852594741e-14,-0.0,0.0,5.9805040597445436e-102,0.0,0.0,0.0,2.922358082984325e-06,-0.0,-0.0,-0.0
0.00018250000000000032,-8.775495182452606e-19,-0.0,-0.0,1.9596568171305572e-63,0.0,0.0,-0.0,-1.2074034518057995e-14,-0.0,0.0,7.530269600939333e-101,0.0,0.0,0.0,2.9850127833500848e-06,-0.0,-0.0,-0.0
0.00018500000000000032,-9.499758409214022e-19,-0.0,-0.0,5.694160081667255e-63,0.0,0.0,-0.0,-1.2507307616450447e-14,-0.0,0.0,9.089892486573961e-100,0.0,0.0,0.0,3.049146937017739e-06,-0.0,-0.0,-0.0
0.00018750000000000033,-1.0271558151062014e-18,-0.0,-0.0,1.6329146921137553e-62,0.0,0.0,-0.0,-1.2944481159871464e-14,-0.0,0.0,1.052801780662615e-98,0.0,0.0,0.0,3.1147921143069747e-06,-0.0,-0.0,-0.0
0.00019000000000000034,-1.1092940138712254e-18,-0.0,-0.0,4.622339771118805e-62,0.0,0.0,-0.0,-1.338496577766075e-14,-0.0,0.0,1.1709263542586308e-97,0.0,0.0,0.0,3.181980487555942e-06,-0.0,-0.0,-0.0
0.00019250000000000034,-1.196595083477557e-18,-0.0,-0.0,1.2918249601619692e-61,0.0,0.0,-0.0,-1.3828147821490307e-14,-0.0,0.0,1.2515686063184853e-96,0.0,0.0,0.0,3.2507447630103917e-06,-0.0,-0.0,-0.0
0.00019500000000000035,-1.2892629381971285e-18,-0.0,-0.0,3.565056026384595e-61,0.0,0.0,-0.0,-1.4273390594551124e-14,-0.0,0.0,1.2866506072431354e-95,0.0,0.0,0.0,3.321118182901213e-06,-0.0,-0.0,-0.0
0.00019750000000000036,-1.387499903502055e-18,-0.0,-0.0,9.716860327238217e-61,0.0,0.0,-0.0,-1.4720035701208127e-14,-0.0,0.0,1.2731461610174069e-94,0.0,0.0,0.0,3.3931345268459257e-06,-0.0,-0.0,-0.0
0.00020000000000000036,-1.4915058100219752e-18,-0.0,-0.0,2.6161167633242794e-60,0.0,0.0,-0.0,-1.5167404513218365e-14,-0.0,0.0,1.2134742635761136e-93,0.0,0.0,0.0,3.466828112457327e-06,-0.0,-0.0,-0.0
0.00020250000000000037,-1.6014770397455738e-18,-0.0,-0.0,6.958780722773809e-60,0.0,0.0,-0.0,-1.5614799756108287e-14,-0.0,0.0,1.114892482755294e-92,0.0,0.0,0.0,3.5422337963087574e-06,-0.0,-0.0,-0.0
0.00020500000000000038,-1.7176055275258569e-18,-0.0,-0.0,1.8290519094389883e-59,0.0,0.0,-0.0,-1.6061507201193998e-14,-0.0,0.0,9.88083420013668e-92,0.0,0.0,0.0,3.619386973843508e-06,-0.0,-0.0,-0.0
0.00020750000000000038,-1.8400777208125367e-18,-0.0,-0.0,4.75123451193535e-59,0.0,0.0,-0.0,-1.650679746670335e-14,-0.0,0.0,8.453049224699183e-91,0.0,0.0,0.0,3.698323624637725e-06,-0.0,-0.0,-0.0
