Wavelength (nm),Differential Scalar Polarizability,Differential Vector Polarizability,Differential Tensor Polarizability
1529.1252150172588,-2.9225472661465286e-34,-1.9142010033491548e-34,1.0371867097366918e-35
1529.12522001733,-2.9226150842554154e-34,-1.914235927043912e-34,1.0371474605412574e-35
1529.125225017401,-2.922682905713472e-34,-1.9142708518532164e-34,1.0371082052957926e-35
1529.125230017472,-2.9227507305151945e-34,-1.914305777774128e-34,1.0370689440027794e-35
1529.125235017543,-2.922818558664697e-34,-1.9143407048086621e-34,1.037029676659135e-35
1529.1252400176138,-2.9228863901507027e-34,-1.9143756329509082e-34,1.0369904032706814e-35
1529.1252450176848,-2.9229542249888716e-34,-1.9144105622088242e-34,1.036951123827651e-35
1529.125250017756,-2.923022063175622e-34,-1.914445492580462e-34,1.0369118383314098e-35
1529.125255017827,-2.923089904705447e-34,-1.9144804240628829e-34,1.036872546784447e-35
1529.125260017898,-2.923157749582463e-34,-1.9145153566581006e-34,1.0368332491836692e-35
1529.125265017969,-2.9232255978069364e-34,-1.9145502903661487e-34,1.0367939455282246e-35
1529.12527001804,-2.9232934493791346e-34,-1.9145852251870607e-34,1.036754635817244e-35
1529.125275018111,-2.9233613042973994e-34,-1.9146201611198788e-34,1.036715320050995e-35
1529.125280018182,-2.9234291625658495e-34,-1.9146550981666167e-34,1.0366759982263806e-35
1529.1252850182532,-2.923497024177049e-34,-1.9146900363233456e-34,1.0366366703470029e-35
1529.1252900183242,-2.923564889137043e-34,-1.9147249755930692e-34,1.0365973364086565e-35
1529.1252950183953,-2.9236327574460964e-34,-1.914759915975822e-34,1.0365579964104821e-35
1529.1253000184663,-2.9237006291083264e-34,-1.9147948574736197e-34,1.0365186503493924e-35
1529.1253050185371,-2.923768504112451e-34,-1.9148298000805473e-34,1.0364792982312161e-35
1529.1253100186082,-2.9238363824702863e-34,-1.9148647438025854e-34,1.0364399400484026e-35
1529.1253150186792,-2.923904264176326e-34,-1.914899688636794e-34,1.0364005758034363e-35
1529.1253200187502,-2.923972149232762e-34,-1.9149346345841974e-34,1.0363612054943419e-35
1529.1253250188213,-2.9240400376417867e-34,-1.9149695816458182e-34,1.0363218291191377e-35
1529.1253300188923,-2.9241079293959647e-34,-1.9150045298177267e-34,1.0362824466814378e-35
1529.1253350189634,-2.9241758245013407e-34,-1.9150394791029282e-34,1.0362430581770283e-35
1529.1253400190344,-2.9242437229620345e-34,-1.9150744295034392e-34,1.0362036636028097e-35
1529.1253450191057,-2.9243116247686842e-34,-1.9151093810143356e-34,1.0361642629635109e-35
1529.1253500191765,-2.9243795299292585e-34,-1.9151443336396166e-34,1.0361248562537995e-35
1529.1253550192475,-2.9244474384401754e-34,-1.9151792873773315e-34,1.0360854434750496e-35
