Wavelength (nm),Differential Scalar Polarizability,Differential Vector Polarizability,Differential Tensor Polarizability
601.5400128334403,1.7714731162790594e-38,-1.4191470593088246e-38,1.4673844460599885e-39
601.5500129167743,1.7711755201314505e-38,-1.4192081333913652e-38,1.4694575536014252e-39
601.5600130001084,1.7708776163364594e-38,-1.419268896555811e-38,1.4715332558977668e-39
601.5700130834424,1.7705794041033778e-38,-1.41932934816689e-38,1.4736115586668485e-39
601.5800131667764,1.7702808826398724e-38,-1.4193894875872085e-38,1.475692467641503e-39
601.5900132501105,1.769982051151981e-38,-1.4194493141772403e-38,1.4777759885696243e-39
601.6000133334444,1.76968290884411e-38,-1.4195088272953185e-38,1.479862127214152e-39
601.6100134167784,1.769383454919018e-38,-1.4195680262976313e-38,1.4819508893532687e-39
601.6200135001125,1.76908368857782e-38,-1.4196269105382154e-38,1.4840422807803006e-39
601.6300135834465,1.7687836090199819e-38,-1.419685479368942e-38,1.4861363073038373e-39
601.6400136667805,1.7684832154433165e-38,-1.4197437321395183e-38,1.4882329747477077e-39
601.6500137501146,1.76818250704396e-38,-1.4198016681974714e-38,1.4903322889512412e-39
601.6600138334486,1.767881483016388e-38,-1.4198592868881498e-38,1.4924342557690578e-39
601.6700139167826,1.767580142553396e-38,-1.419916587554706e-38,1.4945388810713348e-39
601.6800140001167,1.7672784848461027e-38,-1.4199735695380975e-38,1.4966461707437e-39
601.6900140834507,1.7669765090839324e-38,-1.4200302321770772e-38,1.4987561306874102e-39
