Wavelength (nm),Differential Scalar Polarizability,Differential Vector Polarizability,Differential Tensor Polarizability
1529.1247250102986,-2.7447017396705315e-34,-1.79895897852559e-34,9.832209583811399e-36
1529.1247300103694,-2.744765262842185e-34,-1.7989917609531238e-34,9.8318466901406e-36
1529.1247350104404,-2.7448287891376905e-34,-1.7990245444255261e-34,9.831483740397873e-36
1529.1247400105117,-2.7448923185572963e-34,-1.7990573289428283e-34,9.831120734575248e-36
1529.1247450105825,-2.7449558511012502e-34,-1.7990901145050605e-34,9.830757672664814e-36
1529.1247500106535,-2.7450193867698004e-34,-1.7991229011122558e-34,9.830394554658655e-36
1529.1247550107246,-2.74508292555959e-34,-1.799155688762585e-34,9.830031380569393e-36
1529.1247600107956,-2.745146467476275e-34,-1.799188477458869e-34,9.829668150358197e-36
1529.124765010867,-2.745210012520104e-34,-1.7992212672011398e-34,9.829304864017104e-36
1529.1247700109377,-2.7452735606805095e-34,-1.7992540579838487e-34,9.828941521599984e-36
1529.1247750110088,-2.745337111973963e-34,-1.7992868498153973e-34,9.828578123006192e-36
1529.1247800110798,-2.7454006663898973e-34,-1.7993196426902374e-34,9.828214668289548e-36
1529.1247850111508,-2.745464223932167e-34,-1.799352436610259e-34,9.827851157421552e-36
1529.124790011222,-2.7455277845992176e-34,-1.7993852315745645e-34,9.82748759040454e-36
1529.1247950112927,-2.745591348391295e-34,-1.799418027583186e-34,9.827123967230527e-36
1529.1248000113635,-2.745654915312257e-34,-1.799450824638014e-34,9.826760287870975e-36
1529.1248050114348,-2.74571848536235e-34,-1.7994836227390803e-34,9.826396552317898e-36
1529.1248100115058,-2.7457820585382183e-34,-1.799516421884556e-34,9.826032760583982e-36
1529.1248150115769,-2.7458456348383056e-34,-1.7995492220735423e-34,9.825668912671596e-36
1529.124820011648,-2.745909214266467e-34,-1.799582023307931e-34,9.825305008552123e-36
1529.124825011719,-2.745972796821149e-34,-1.7996148255868236e-34,9.824941048227974e-36
1529.12483001179,-2.7460363825062045e-34,-1.7996476289121121e-34,9.824577031670476e-36
1529.124835011861,-2.746099971318279e-34,-1.7996804332819663e-34,9.824212958892334e-36
1529.124840011932,-2.7461635632612254e-34,-1.7997132386982792e-34,9.823848829864923e-36
1529.124845012003,-2.7462271583316864e-34,-1.7997460451592213e-34,9.823484644600974e-36
1529.124850012074,-2.746290756531714e-34,-1.7997788526657545e-34,9.823120403082123e-36
1529.1248550121452,-2.746354357861558e-34,-1.79981166121791e-34,9.822756105300458e-36
1529.124860012216,-2.7464179623142507e-34,-1.7998444708119973e-34,9.822391751289322e-36
1529.124865012287,-2.746481569899061e-34,-1.7998772814527001e-34,9.822027340989096e-36
1529.124870012358,-2.7465451806198453e-34,-1.7999100931419108e-34,9.821662874371089e-36
1529.1248750124291,-2.74660879446603e-34,-1.7999429058740785e-34,9.821298351489397e-36
1529.1248800125002,-2.746672411445078e-34,-1.7999757196529555e-34,9.820933772294625e-36
1529.1248850125712,-2.746736031553631e-34,-1.8000085344767134e-34,9.820569136799545e-36
1529.1248900126425,-2.746799654793743e-34,-1.8000413503463137e-34,9.820204444985809e-36
1529.1248950127133,-2.7468632811656615e-34,-1.8000741672617865e-34,9.819839696845441e-36
1529.1249000127843,-2.7469269106642233e-34,-1.8001069852203722e-34,9.81947489240147e-36
1529.1249050128554,-2.746990543300504e-34,-1.8001398042276875e-34,9.819110031583872e-36
