x_mm,force_x_trapping_on_n,force_x_trapping_off_n,effective_field_x_trapping_on_g
0.33,-4.331272727759008e-22,1.557530014839531e-36,0.6614398137613708
0.34,-4.462809845923676e-22,-4.584427968206921e-37,0.6815748717270258
0.35000000000000003,-4.594376091010946e-22,2.82118644197349e-37,0.7017181370048995
0.36000000000000004,-4.725972734743765e-22,5.216256181773901e-37,0.7218698539039127
0.37,-4.857601069561011e-22,-2.5552308450999475e-36,0.7420302669878851
0.38,-4.989262407836781e-22,-1.8514036025451028e-37,0.7621996210829871
0.39,-5.120958081090653e-22,4.2068004080052614e-36,0.7823781612852204
0.4,-5.252689439190433e-22,1.9674836696888037e-36,0.8025661329678948
0.41000000000000003,-5.384457849555176e-22,-8.683964516699649e-37,0.8227637817891391
0.42000000000000004,-5.516264696360239e-22,-1.1020259538958945e-36,0.842971353699399
0.43,-5.64811137974888e-22,-1.7926288850039884e-37,0.8631890949490052
0.44,-5.779999315053611e-22,-1.285696946211877e-36,0.8834172520956994
0.45,-5.911929932029478e-22,4.400756975890939e-36,0.9036560720122209
0.46,-6.043904674102396e-22,1.5119796087451673e-36,0.9239058018938604
0.47000000000000003,-6.175924997634013e-22,-1.557530014839531e-36,0.9441666892661125
0.48000000000000004,-6.307992371204893e-22,-2.2540104177017363e-36,0.9644389819922701
0.49,-6.440108274917655e-22,1.588386741548616e-36,0.9847229282810664
0.5,-6.572274199720748e-22,-3.763051290569848e-36,1.0050187766943572
0.51,-6.704491646752979e-22,-1.9895241887667216e-36,1.025326776154772
0.52,-6.836762126711718e-22,1.1519844638058418e-36,1.045647175953455
0.53,-6.969087159241255e-22,-1.0564755478015309e-36,1.0659802257577657
0.54,-7.1014682723452005e-22,-3.9966807927957775e-37,1.086326175619008
0.55,-7.233907001819998e-22,-6.108162520460311e-36,1.1066852759802512
0.56,-7.36640489071065e-22,8.816207631167156e-37,1.1270577776840742
0.5700000000000001,-7.498963488788115e-22,-9.727215753054429e-37,1.1474439319803817
0.5800000000000001,-7.631584352046991e-22,1.473776042343443e-36,1.1678439905342617
0.59,-7.764269042224304e-22,-2.162909605513009e-36,1.1882582054338182
0.6,-7.89701912633705e-22,9.102734379180089e-36,1.2086868291980746
0.61,-8.029836176238864e-22,-1.838179291098352e-36,1.2291301147848823
0.62,-8.162721768194702e-22,2.1687870772671205e-36,1.2495883155988408
0.63,-8.295677482471808e-22,5.802533989246517e-36,1.2700616854992557
0.64,-8.428704902947967e-22,-3.364852579228798e-37,1.2905504788081357
0.65,-8.561805616733479e-22,-3.385423730368188e-36,1.3110549503181954
0.66,-8.69498121380864e-22,-1.013863877584223e-36,1.3315753553009015
0.67,-8.828233286673698e-22,-7.170515540015954e-37,1.3521119495145233
0.68,-8.96156343001122e-22,-3.062162783892059e-36,1.3726649892122311
0.6900000000000001,-9.094973240360642e-22,7.089700303396922e-36,1.393234731150238
0.7000000000000001,-9.228464315802322e-22,-4.8944646032362996e-36,1.4138214325959253
0.7100000000000001,-9.362038255652024e-22,4.089250972923033e-36,1.4344253513360141
0.72,-9.495696660164434e-22,-4.9473618490233025e-36,1.4550467456848182
0.73,-9.629441130243831e-22,-4.892995235297772e-36,1.4756858744924504
0.74,-9.763273267163356e-22,1.3224311446750734e-38,1.4963429971530946
0.75,-9.897194672289374e-22,-2.005687236090528e-36,1.5170183736133211
0.76,-1.0031206946813294e-21,-2.318662606996962e-36,1.5377122643804095
0.77,-1.0165311691487686e-21,3.9863952172260825e-36,1.5584249305307272
0.78,-1.0299510506367023e-21,9.521504241660529e-37,1.5791566337181175
0.79,-1.043380499055312e-21,1.2519014836257362e-36,1.5999076361823426
0.8,-1.0568196741943076e-21,3.125345605248757e-36,1.6206782007575384
0.81,-1.0702687356981515e-21,-1.754425318602264e-36,1.641468590880728
0.8200000000000001,-1.0837278430414043e-21,-9.286405371496071e-37,1.6622790706003585
0.8300000000000001,-1.0971971555043847e-21,1.3224311446750734e-38,1.6831099045848592
0.8400000000000001,-1.1106768321489015e-21,4.775445800215543e-37,1.7039613581312498
0.85,-1.1241670317942391e-21,-1.0564755478015309e-36,1.7248336971738112
0.86,-1.1376679129930973e-21,-7.1117408224748394e-37,1.7457271882927403
0.87,-1.1511796340077094e-21,-2.9519601885024695e-36,1.7666420987228735
0.88,-1.1647023527859379e-21,-4.4992046277723054e-36,1.7875786963624507
0.89,-1.1782362269373691e-21,-1.4487967873884694e-36,1.8085372497819048
0.9,-1.1917814137094785e-21,-1.7500172147866805e-36,1.8295180282327053
0.91,-1.2053380699636025e-21,3.541176731852141e-37,1.8505213016562196
0.92,-1.2189063521510174e-21,-8.081523661903227e-37,1.871547340692659
0.93,-1.2324864162888255e-21,2.0042178681520002e-36,1.8925964166899814
0.9400000000000001,-1.2460784179357816e-21,-1.619243468257701e-36,1.9136688017129455
0.9500000000000001,-1.2596825121680308e-21,1.4473274194499415e-36,1.9347647685521094
0.9600000000000001,-1.2732988535546605e-21,-4.197984200374094e-36,1.9558845907329498
0.97,-1.2869275961332155e-21,-7.611325921574312e-36,1.9770285425249376
0.98,-1.3005688933849579e-21,2.527312854267918e-37,1.9981968989507808
0.99,-1.314222898210004e-21,-1.3327167202447685e-36,2.0193899357955516
1.0,-1.3278897629023556e-21,-5.43666137255308e-38,2.0406079296160167
1.01,-1.3415696391246552e-21,8.169685738214898e-37,2.0618511577499143
1.02,-1.3552626778827691e-21,5.715841280873373e-37,2.0831198983252883
1.03,-1.368969029500263e-21,-3.094488878539672e-36,2.104414430269912
1.04,-1.3826888435925899e-21,-2.9284503014860238e-36,2.1257350333207357
1.05,-1.3964222690410809e-21,-2.987225019027138e-36,2.147081988033351
1.06,-1.4101694539667233e-21,6.186039021202288e-37,2.1684555757915516
1.07,-1.4239305457037771e-21,-6.923661726343273e-36,2.1898560788169346
1.08,-1.4377056907730709e-21,7.449695448336247e-37,2.2112837801785172
1.09,-1.451495034855116e-21,2.3362950222592964e-37,2.2327389638024435
1.1,-1.4652987227629836e-21,6.814928498892212e-36,2.254221914481714
1.11,-1.4791168984149455e-21,5.56008827938942e-36,2.2757329178860064
1.12,-1.4929497048067896e-21,7.302758654483461e-37,2.297272260571482
1.1300000000000001,-1.5067972839840333e-21,6.626849402760646e-37,2.3188402299907316
1.1400000000000001,-1.5206597770136941e-21,-1.0314962928465573e-36,2.3404371145026874
1.1500000000000001,-1.5345373239559215e-21,-1.2151672851625397e-36,2.3620632033826503
1.1600000000000001,-1.5484300638353561e-21,6.318282135669795e-37,2.3837187868323526
1.17,-1.5623381346120898e-21,8.404784608379356e-37,2.4054041559900807
1.18,-1.5762616731525077e-21,-4.951769952838886e-37,2.4271196029408477
1.19,-1.5902008151997061e-21,-9.756603111824986e-37,2.4488654207265967
1.2,-1.6041556953437032e-21,4.9370762734536075e-36,2.47064190335654
1.21,-1.6181264469912995e-21,-2.9548989243795252e-36,2.4924493458174752
1.22,-1.6321132023356305e-21,-1.7412010071555134e-36,2.514288044084212
1.23,-1.646116092325449e-21,-2.1967050680991498e-36,2.5361582951300017
1.24,-1.6601352466340062e-21,5.003197830687361e-36,2.558060396937124
1.25,-1.6741707936276861e-21,1.3444716637529913e-36,2.5799946485074257
1.26,-1.688222860334229e-21,-2.0982574162177832e-36,2.601961349872995
1.27,-1.7022915724106836e-21,2.2187455871770677e-36,2.6239608021068688
1.28,-1.7163770541109296e-21,-2.0571151139390031e-38,2.645993307333823
1.29,-1.730479428252893e-21,9.448035844734136e-37,2.6680591687412045
1.3,-1.7445988161853424e-21,-3.8203566401724344e-38,2.690158690589828
1.31,-1.758735337754356e-21,-1.4546742591425808e-36,2.712292178224963
1.32,-1.7728891112694013e-21,-4.3934101361982996e-37,2.73445993808738
1.33,-1.787060253468935e-21,-9.242324333340236e-37,2.7566622777244345
